group,proxy_variant,reinterpretation_utility_proxy,best_baseline_utility_proxy,delta_utility_proxy,reinterpretation_recombined_total,best_baseline_recombined_total,delta_recombined_total
reinterpretation_tied_win_all,current_weighted,0.958773,0.939495,0.019278,0.681283,0.638094,0.043189
reinterpretation_tied_win_all,uniform_components,0.948504,0.932805,0.015698,0.673985,0.633550,0.040435
reinterpretation_tied_win_all,density_heavy,0.959214,0.934155,0.025059,0.681595,0.634466,0.047129
reinterpretation_tied_win_all,coverage_heavy,0.958333,0.944836,0.013498,0.680970,0.641721,0.039249
reinterpretation_tied_win_all,in_out_heavy,0.933539,0.917430,0.016109,0.663351,0.623107,0.040245
reinterpretation_strict_win_all,current_weighted,0.929750,0.875000,0.054750,0.604278,0.495650,0.108628
reinterpretation_strict_win_all,uniform_components,0.926250,0.881667,0.044583,0.602003,0.499427,0.102577
reinterpretation_strict_win_all,density_heavy,0.919833,0.848667,0.071167,0.597833,0.480733,0.117100
reinterpretation_strict_win_all,coverage_heavy,0.939667,0.901333,0.038333,0.610723,0.510567,0.100157
reinterpretation_strict_win_all,in_out_heavy,0.911083,0.865333,0.045750,0.592146,0.490174,0.101972
reinterpretation_loss_all,current_weighted,0.885417,0.901148,-0.015731,0.471429,0.631018,-0.159589
reinterpretation_loss_all,uniform_components,0.895196,0.910077,-0.014881,0.476635,0.637270,-0.160635
reinterpretation_loss_all,density_heavy,0.855697,0.874575,-0.018878,0.455605,0.612410,-0.156806
reinterpretation_loss_all,coverage_heavy,0.915136,0.927721,-0.012585,0.487252,0.649626,-0.162373
reinterpretation_loss_all,in_out_heavy,0.880145,0.896896,-0.016752,0.468622,0.628041,-0.159419
n4_limit50_reinterpretation_loss_all,current_weighted,0.894712,0.856010,0.038702,0.460415,0.557713,-0.097298
n4_limit50_reinterpretation_loss_all,uniform_components,0.901442,0.878606,0.022837,0.463878,0.572435,-0.108556
n4_limit50_reinterpretation_loss_all,density_heavy,0.870192,0.809135,0.061058,0.447797,0.527172,-0.079375
n4_limit50_reinterpretation_loss_all,coverage_heavy,0.919231,0.902885,0.016346,0.473032,0.588253,-0.115221
n4_limit50_reinterpretation_loss_all,in_out_heavy,0.887019,0.865625,0.021394,0.456456,0.563977,-0.107521
n4_limit50_reinterpretation_tied_win_all,current_weighted,0.784375,0.796875,-0.012500,0.460665,0.445475,0.015189
n4_limit50_reinterpretation_tied_win_all,uniform_components,0.828125,0.828125,0.000000,0.486359,0.462945,0.023414
n4_limit50_reinterpretation_tied_win_all,density_heavy,0.706250,0.731250,-0.025000,0.414782,0.408789,0.005993
n4_limit50_reinterpretation_tied_win_all,coverage_heavy,0.862500,0.862500,0.000000,0.506548,0.482161,0.024386
n4_limit50_reinterpretation_tied_win_all,in_out_heavy,0.815625,0.809375,0.006250,0.479018,0.452463,0.026555
